freq,X_800us_unloaded_4,Y_800us_unloaded_4,Z_800us_unloaded_4
353.52,4.8849e-06,2.6007e-05,9.1872e-06
354.49,1.3746e-06,2.279e-05,1.0613e-05
355.47,2.6015e-05,5.1479e-05,1.6953e-05
356.45,2.2294e-06,2.0561e-05,2.489e-06
357.42,6.5606e-06,2.3251e-06,3.8152e-06
358.4,1.8061e-05,2.308e-05,8.9867e-06
359.38,2.1069e-05,5.0468e-05,4.3241e-06
360.35,1.9932e-05,2.8036e-05,6.3554e-06
361.33,3.6194e-05,5.2883e-06,7.3281e-06
362.3,1.5074e-05,2.4544e-05,7.7319e-06
363.28,1.3183e-05,3.7472e-05,6.1243e-06
364.26,7.6719e-06,2.7799e-05,4.3731e-06
365.23,2.4669e-05,1.0002e-05,3.7723e-06
366.21,2.1618e-05,2.2595e-05,3.8693e-06
367.19,1.6659e-05,1.1879e-05,1.6734e-05
368.16,1.8718e-05,1.2234e-05,8.7439e-06
369.14,1.2963e-05,1.9753e-05,5.046e-06
370.12,1.1079e-05,2.0885e-05,3.1433e-06
371.09,1.0113e-05,5.3687e-05,1.1624e-05
372.07,2.3937e-05,2.5721e-05,2.7012e-06
373.05,1.6531e-05,6.7218e-06,4.0117e-06
374.02,3.1484e-05,1.667e-05,3.1469e-06
375,8.5809e-05,7.1525e-05,1.7218e-05
375.98,1.8553e-05,1.878e-05,7.7279e-06
376.95,3.4618e-05,1.029e-05,4.003e-06
377.93,2.2347e-05,2.6934e-05,2.0449e-06
378.91,2.5497e-05,4.9699e-05,1.357e-05
379.88,9.6677e-06,2.4194e-05,9.2528e-06
380.86,1.0483e-05,1.9453e-05,7.3242e-06
381.84,5.9319e-06,2.4638e-05,5.2073e-06
382.81,3.5522e-06,2.3492e-05,1.1038e-05
383.79,1.8097e-05,1.2185e-05,5.3826e-06
384.77,1.2332e-05,1.3042e-05,6.7557e-06
385.74,2.9422e-05,3.0525e-05,1.8624e-06
386.72,1.3067e-05,2.8807e-05,1.2952e-05
387.7,1.9093e-05,2.4936e-06,4.4351e-06
388.67,2.0428e-05,2.1034e-05,5.107e-06
389.65,3.2292e-05,2.2831e-05,3.9469e-06
390.63,5.1018e-06,1.9568e-05,1.328e-05
391.6,1.668e-05,2.2565e-05,8.6056e-06
392.58,4.9833e-06,2.7509e-06,5.3501e-06
393.55,1.857e-05,1.3138e-05,3.5516e-06
394.53,2.2296e-05,3.9528e-05,8.7542e-06
395.51,1.9639e-05,9.1834e-06,4.1822e-06
396.48,2.2956e-05,1.2775e-05,7.4833e-06
397.46,6.909e-06,2.4477e-05,6.1751e-06
398.44,6.7274e-06,5.0703e-05,1.8556e-05
399.41,1.3756e-05,5.3389e-06,6.144e-06
400.39,8.4463e-06,1.4104e-05,2.5052e-06
401.37,1.1711e-05,3.9412e-06,5.9739e-06
402.34,3.3117e-05,4.2531e-05,7.5445e-06
403.32,1.2936e-05,2.9978e-05,5.8616e-06
404.3,1.176e-05,2.3928e-05,6.4333e-06
405.27,1.5088e-05,9.9847e-06,7.6647e-06
406.25,1.2745e-05,2.2315e-05,1.403e-05
407.23,2.0488e-05,1.1353e-05,1.233e-06
408.2,1.0652e-05,1.1711e-05,5.5018e-06
409.18,4.044e-05,1.3009e-05,5.4479e-06
410.16,2.732e-05,3.9321e-05,1.1329e-05
411.13,1.8708e-05,8.3911e-06,1.2499e-06
412.11,1.8142e-05,1.0657e-05,1.543e-06
413.09,1.9845e-05,2.9548e-05,4.3467e-06
414.06,2.3309e-05,1.9493e-05,1.738e-05
415.04,1.7056e-05,2.2065e-05,4.7113e-06
416.02,2.5014e-05,9.4206e-06,1.0544e-05
416.99,1.6232e-05,1.3245e-05,1.0874e-05
417.97,1.7145e-05,2.0009e-05,1.1757e-05
418.95,2.0489e-05,2.1117e-05,7.6467e-06
419.92,1.7633e-05,1.6055e-05,8.8485e-06
420.9,1.7852e-05,2.8075e-05,1.1359e-05
421.88,1.5603e-05,3.9386e-05,1.0779e-05
422.85,6.8363e-06,2.0927e-05,4.4148e-06
423.83,6.7609e-06,2.4177e-05,5.1969e-06
424.8,2.4512e-05,1.0757e-05,5.971e-06
425.78,2.1125e-05,3.1311e-05,1.0962e-05
426.76,2.1823e-05,2.9456e-06,8.2873e-06
427.73,1.8447e-05,2.3713e-05,5.1011e-06
428.71,2.3156e-05,2.9965e-05,5.6589e-06
429.69,2.7753e-05,3.4948e-05,9.3924e-06
430.66,2.2835e-05,1.2518e-05,4.9525e-06
431.64,2.0164e-05,2.6143e-05,4.5371e-06
432.62,1.6647e-05,3.5876e-06,5.5463e-06
433.59,1.0784e-05,4.0983e-05,7.0508e-06
434.57,1.8912e-05,1.1728e-05,7.3381e-06
435.55,2.6614e-05,7.7956e-06,5.3039e-06
436.52,1.8575e-05,2.2065e-05,2.1874e-06
437.5,0.00012173,0.00012318,1.8657e-05
438.48,4.4833e-05,1.1173e-05,9.4506e-06
439.45,2.3032e-05,3.6946e-05,4.8995e-06
440.43,1.0577e-05,1.6109e-05,3.0389e-06
441.41,1.0236e-05,4.8886e-05,7.8529e-06
442.38,3.1019e-05,1.3256e-05,6.7707e-06
443.36,8.1739e-06,2.1471e-05,6.7623e-06
444.34,1.3137e-05,9.7087e-06,1.3422e-06
445.31,8.8174e-06,1.9494e-05,1.6142e-05
446.29,1.819e-05,9.0986e-06,1.4864e-06
447.27,2.4247e-05,1.7125e-05,3.9491e-06
448.24,1.8385e-05,3.2473e-05,5.6599e-06
449.22,2.3487e-06,2.3679e-05,1.2697e-05
450.2,1.4871e-05,9.1102e-06,1.4944e-06
451.17,9.8542e-06,1.2236e-05,1.2858e-06
452.15,1.5135e-05,1.506e-05,1.7317e-06
453.13,8.3933e-06,2.3602e-05,1.2208e-05
454.1,1.3688e-05,1.7119e-05,4.2317e-06
455.08,9.5805e-06,1.4712e-05,3.5208e-06
456.05,9.5845e-06,5.1038e-06,5.4093e-06
457.03,2.1003e-06,2.0069e-05,2.0768e-05
458.01,3.1269e-06,1.4255e-05,9.8703e-06
458.98,1.4861e-05,2.5515e-05,1.1838e-05
459.96,1.9636e-05,4.3144e-06,7.8711e-06
460.94,2.9149e-05,2.6941e-05,1.3038e-05
461.91,2.1217e-05,1.1651e-05,5.3165e-06
462.89,2.6849e-05,1.5693e-05,2.4001e-06
463.87,1.6494e-05,1.4946e-05,2.9146e-06
464.84,2.2668e-05,3.1803e-05,1.0472e-05
465.82,1.9689e-05,2.1909e-05,4.2601e-07
466.8,1.3658e-05,2.7214e-05,1.9555e-06
467.77,6.2767e-06,2.5568e-05,4.9046e-07
468.75,2.5579e-05,2.3728e-05,1.4787e-05
469.73,1.6968e-05,1.1731e-05,7.2449e-06
470.7,2.9598e-05,9.0344e-06,7.2053e-06
471.68,1.1654e-05,1.9724e-05,4.1591e-06
472.66,1.7094e-05,4.0661e-05,1.686e-05
473.63,2.3603e-05,1.8353e-05,6.7042e-06
474.61,2.2967e-05,1.6215e-05,7.6867e-06
475.59,1.599e-05,2.1163e-05,1.1238e-05
476.56,8.3643e-06,4.7628e-05,1.8673e-05
477.54,1.0932e-05,2.8378e-05,5.752e-06
478.52,8.9649e-06,7.0819e-06,1.5034e-06
479.49,9.5752e-06,1.2525e-05,1.1821e-06
480.47,1.6402e-05,5.1755e-05,1.5984e-05
481.45,1.1088e-05,1.748e-05,5.0495e-06
482.42,2.9188e-05,1.2108e-05,3.5403e-06
483.4,2.1787e-05,2.389e-05,6.4396e-06
484.38,1.2637e-05,7.4442e-05,2.0293e-05
485.35,3.305e-05,1.4809e-05,2.7242e-06
486.33,9.9459e-06,2.7691e-05,8.3424e-06
487.3,3.0746e-05,2.3146e-05,1.008e-05
